shipment_id,created_date,shipped_date,delivered_date,sender_country,origin_center,destination_region,weight_grams,shipment_type,delivery_status,delay_reason,distance_km,return_reason,customer_rating,is_holiday_season
58,2024-04-29,2024-04-30,2024-05-03,LT,Klaipeda,Panevezys,2072,Express,Delivered,None,288,,1,False
59,2024-09-07,2024-09-08,2024-09-12,LT,Klaipeda,Siauliai,2712,Express,Delivered,None,295,,4,False
60,2024-03-30,2024-04-01,2024-04-02,LT,Vilnius,Kaunas,1419,Standard,Delivered,None,242,,4,False
61,2024-11-19,2024-11-20,2024-11-21,LT,Kaunas,Vilnius,4238,Express,Delivered,None,344,,1,True
62,2024-01-29,2024-01-31,2024-02-01,LT,Siauliai,Klaipeda,2688,Express,Delivered,None,45,,1,False
63,2024-11-16,2024-11-18,2024-11-21,LT,Klaipeda,Vilnius,1383,EMS,Delivered,None,32,,4,True
64,2024-09-19,2024-09-21,2024-09-22,LT,Klaipeda,Klaipeda,2591,Standard,Delivered,None,119,,1,False
65,2024-08-15,2024-08-16,2024-08-18,LT,Siauliai,Siauliai,1202,Registered,Delivered,None,18,,1,False
66,2024-05-01,2024-05-01,2024-05-02,LT,Panevezys,Siauliai,4894,EMS,Delivered,None,131,,4,False
67,2024-09-02,2024-09-03,2024-09-06,LT,Klaipeda,Kaunas,1943,Express,Delivered,None,129,,3,False
68,2024-08-25,2024-08-25,2024-08-28,LT,Vilnius,Vilnius,2354,EMS,Delivered,None,99,,3,False
69,2024-12-19,2024-12-19,2024-12-27,LT,Vilnius,Siauliai,887,EMS,Delayed,Weather,14,,2,True
70,2024-01-15,2024-01-16,2024-01-18,LT,Vilnius,Klaipeda,4851,Express,Delivered,None,344,,3,False
71,2024-12-23,2024-12-24,2024-12-27,LT,Panevezys,Klaipeda,2720,Express,Delivered,None,211,,2,True
72,2024-05-01,2024-05-01,2024-05-04,LT,Panevezys,Klaipeda,4239,Standard,Delivered,None,64,,5,False
73,2024-05-04,2024-05-04,,LT,Siauliai,Klaipeda,514,EMS,Returned,Address error,40,Address incorrect,2,False
74,2024-09-14,2024-09-15,2024-09-24,LT,Vilnius,Kaunas,447,Express,Delayed,High volume,168,,1,False
75,2024-05-12,2024-05-13,2024-05-18,LT,Klaipeda,Siauliai,983,Express,Delayed,Weather,104,,4,False
76,2024-04-28,2024-04-28,2024-04-30,LT,Panevezys,Vilnius,212,Express,Delivered,None,317,,5,False
77,2024-04-05,2024-04-07,2024-04-10,LT,Kaunas,Siauliai,783,Standard,Delivered,None,164,,4,False
78,2024-01-25,2024-01-25,2024-01-26,LT,Vilnius,Klaipeda,297,Registered,Delivered,None,192,,2,False
79,2024-11-12,2024-11-13,2024-11-15,LT,Panevezys,Panevezys,3373,Express,Delivered,None,232,,3,True
80,2024-09-14,2024-09-14,,LT,Panevezys,Panevezys,1534,Express,Returned,High volume,56,Damaged,5,False
81,2024-01-27,2024-01-27,2024-01-29,LT,Siauliai,Siauliai,2835,Standard,Delivered,None,69,,1,False
82,2024-10-13,2024-10-13,2024-10-15,LT,Klaipeda,Klaipeda,4463,Registered,Delivered,None,340,,1,False
83,2024-11-13,2024-11-15,2024-11-19,LT,Vilnius,Klaipeda,2882,EMS,Delivered,None,104,,4,True
84,2024-04-30,2024-05-01,2024-05-02,LT,Panevezys,Panevezys,2428,Standard,Delivered,None,106,,5,False
85,2024-12-04,2024-12-04,2024-12-05,LT,Panevezys,Kaunas,250,Standard,Delivered,None,265,,4,True
86,2024-05-05,2024-05-07,2024-05-15,LT,Panevezys,Panevezys,1539,Express,Delayed,Weather,153,,5,False
87,2024-06-11,2024-06-13,2024-06-15,LT,Vilnius,Klaipeda,2455,Express,Delivered,None,180,,2,False
88,2024-04-30,2024-04-30,2024-05-04,LT,Klaipeda,Vilnius,528,Standard,Delivered,None,207,,1,False
89,2024-08-25,2024-08-25,,LT,Panevezys,Vilnius,1875,EMS,Returned,Address error,263,Damaged,2,False
90,2024-07-29,2024-07-29,2024-08-01,LT,Vilnius,Siauliai,3283,Standard,Delivered,None,339,,5,False
91,2024-05-08,2024-05-09,,LT,Klaipeda,Vilnius,3734,Express,Returned,Weather,307,Recipient unavailable,5,False
92,2024-09-14,2024-09-16,2024-09-20,LT,Vilnius,Klaipeda,1442,Standard,Delivered,None,306,,2,False
93,2024-04-25,2024-04-25,2024-04-29,LT,Siauliai,Siauliai,4738,Standard,Delivered,None,23,,3,False
94,2024-06-23,2024-06-23,2024-06-25,LT,Vilnius,Kaunas,3492,EMS,Delivered,None,331,,2,False
95,2024-05-13,2024-05-13,2024-05-14,LT,Klaipeda,Klaipeda,2513,EMS,Delivered,None,59,,1,False
96,2024-04-06,2024-04-06,2024-04-12,LT,Panevezys,Siauliai,474,Registered,Delayed,Sorting issue,54,,2,False
97,2024-12-24,2024-12-24,2024-12-25,LT,Klaipeda,Siauliai,1637,EMS,Delivered,None,313,,5,True
98,2024-07-07,2024-07-08,2024-07-14,LT,Klaipeda,Panevezys,1503,Express,Delayed,High volume,210,,5,False
99,2024-10-08,2024-10-09,,LT,Panevezys,Panevezys,3977,Registered,Lost,Sorting issue,172,,4,False
100,2024-06-20,2024-06-21,2024-06-22,LT,Panevezys,Panevezys,2697,Standard,Delivered,None,169,,3,False
101,2024-12-18,2024-12-19,2024-12-25,LT,Panevezys,Panevezys,849,Standard,Delayed,Address error,94,,4,True
102,2024-03-22,2024-03-23,2024-03-26,LT,Kaunas,Vilnius,2032,EMS,Delivered,None,114,,5,False
103,2024-11-26,2024-11-26,2024-12-04,LT,Panevezys,Vilnius,4454,Standard,Delayed,High volume,301,,2,True
104,2024-03-11,2024-03-13,2024-03-15,LT,Klaipeda,Siauliai,2066,EMS,Delivered,None,253,,5,False
105,2024-02-16,2024-02-17,2024-02-20,LT,Panevezys,Kaunas,607,Express,Delivered,None,24,,1,False
106,2024-03-10,2024-03-10,2024-03-12,LT,Vilnius,Vilnius,2602,Express,Delivered,None,242,,4,False
107,2024-04-28,2024-04-28,2024-05-01,LT,Panevezys,Klaipeda,3743,EMS,Delivered,None,176,,5,False
108,2024-04-07,2024-04-09,2024-04-10,LT,Panevezys,Klaipeda,71,EMS,Delivered,None,37,,1,False
109,2024-07-06,2024-07-08,2024-07-10,LT,Vilnius,Panevezys,4721,Standard,Delivered,None,101,,3,False
110,2024-12-18,2024-12-20,2024-12-24,LT,Klaipeda,Siauliai,1793,EMS,Delivered,None,34,,3,True
111,2024-04-10,2024-04-11,2024-04-15,LT,Vilnius,Klaipeda,3146,Registered,Delivered,None,198,,5,False
112,2024-02-14,2024-02-15,2024-02-17,LT,Siauliai,Klaipeda,277,Registered,Delivered,None,271,,1,False
113,2024-01-31,2024-01-31,2024-02-05,LT,Kaunas,Siauliai,4167,Express,Delayed,Sorting issue,315,,3,False
114,2024-10-10,2024-10-12,2024-10-14,LT,Vilnius,Klaipeda,227,Registered,Delivered,None,187,,5,False
115,2024-06-21,2024-06-21,2024-06-22,LT,Klaipeda,Panevezys,4277,Express,Delivered,None,26,,2,False
116,2024-08-20,2024-08-20,2024-08-23,LT,Kaunas,Vilnius,4817,EMS,Delivered,None,56,,4,False
117,2024-01-26,2024-01-26,2024-01-27,LT,Klaipeda,Vilnius,713,Standard,Delivered,None,274,,4,False
118,2024-10-29,2024-10-29,2024-11-02,LT,Panevezys,Panevezys,1291,Express,Delivered,None,144,,5,False
119,2024-09-09,2024-09-09,2024-09-14,LT,Klaipeda,Kaunas,4571,Standard,Delayed,High volume,350,,4,False
120,2024-11-15,2024-11-15,2024-11-18,LT,Panevezys,Panevezys,4896,Standard,Delivered,None,207,,1,True
121,2024-08-30,2024-08-30,2024-09-01,LT,Klaipeda,Kaunas,659,EMS,Delivered,None,94,,4,False
122,2024-11-20,2024-11-21,2024-11-24,LT,Siauliai,Kaunas,832,Express,Delivered,None,45,,4,True
123,2024-09-23,2024-09-23,2024-09-29,LT,Panevezys,Klaipeda,165,Standard,Delayed,High volume,13,,2,False
124,2024-12-01,2024-12-03,2024-12-06,LT,Vilnius,Panevezys,564,Express,Delivered,None,42,,2,True
125,2024-06-30,2024-07-01,2024-07-03,LT,Kaunas,Siauliai,4485,Registered,Delivered,None,118,,4,False
126,2024-12-16,2024-12-17,2024-12-20,LT,Vilnius,Siauliai,142,Registered,Delivered,None,202,,5,True
127,2024-06-29,2024-06-30,2024-07-07,LT,Kaunas,Klaipeda,4393,EMS,Delayed,Weather,165,,5,False
128,2024-06-21,2024-06-22,2024-06-25,LT,Panevezys,Klaipeda,273,EMS,Delivered,None,252,,2,False
129,2024-03-25,2024-03-27,2024-03-29,LT,Kaunas,Siauliai,875,Standard,Delivered,None,280,,2,False
130,2024-09-09,2024-09-11,2024-09-12,LT,Klaipeda,Siauliai,3235,Registered,Delivered,None,336,,4,False
131,2024-02-11,2024-02-12,2024-02-13,LT,Kaunas,Siauliai,599,Standard,Delivered,None,152,,5,False
132,2024-05-31,2024-06-01,2024-06-05,LT,Panevezys,Klaipeda,230,Standard,Delivered,None,37,,4,False
133,2024-06-02,2024-06-04,2024-06-07,LT,Klaipeda,Panevezys,3274,EMS,Delivered,None,211,,3,False
134,2024-07-10,2024-07-11,2024-07-14,LT,Kaunas,Vilnius,1047,Standard,Delivered,None,73,,4,False
135,2024-12-27,2024-12-28,2025-01-01,LT,Siauliai,Vilnius,2500,Standard,Delivered,None,139,,5,True
136,2024-08-25,2024-08-26,2024-08-28,LT,Siauliai,Siauliai,2529,Express,Delivered,None,77,,3,False
137,2024-09-27,2024-09-27,2024-10-01,LT,Kaunas,Kaunas,4645,Express,Delayed,Address error,330,,1,False
138,2024-01-13,2024-01-13,2024-01-16,LT,Klaipeda,Vilnius,4921,EMS,Delivered,None,158,,2,False
139,2024-12-08,2024-12-08,2024-12-09,LT,Vilnius,Vilnius,2096,Standard,Delivered,None,138,,5,True
140,2024-09-13,2024-09-14,2024-09-15,LT,Vilnius,Vilnius,4538,Standard,Delivered,None,345,,4,False
141,2024-06-09,2024-06-11,2024-06-15,LT,Siauliai,Panevezys,3234,Standard,Delivered,None,342,,3,False
142,2024-04-21,2024-04-23,2024-04-24,LT,Vilnius,Vilnius,2368,Express,Delivered,None,48,,3,False
143,2024-11-03,2024-11-04,2024-11-07,LT,Kaunas,Panevezys,3990,Express,Delivered,None,171,,3,True
144,2024-10-21,2024-10-22,2024-10-27,LT,Vilnius,Vilnius,798,Standard,Delayed,Sorting issue,174,,1,False
145,2024-10-25,2024-10-27,2024-10-28,LT,Vilnius,Siauliai,3331,EMS,Delivered,None,193,,2,False
146,2024-06-07,2024-06-07,2024-06-09,LT,Kaunas,Klaipeda,2628,Express,Delivered,None,236,,4,False
147,2024-06-10,2024-06-10,2024-06-11,LT,Klaipeda,Panevezys,1935,EMS,Delivered,None,281,,2,False
148,2024-11-08,2024-11-08,2024-11-14,LT,Klaipeda,Vilnius,3416,Registered,Delayed,Address error,336,,2,True
149,2024-07-30,2024-07-30,2024-08-02,LT,Vilnius,Klaipeda,3687,Standard,Delivered,None,284,,1,False
150,2024-08-16,2024-08-17,2024-08-21,LT,Siauliai,Panevezys,2784,EMS,Delivered,None,94,,2,False
151,2024-06-03,2024-06-03,2024-06-04,LT,Vilnius,Panevezys,4069,Express,Delivered,None,342,,5,False
152,2024-04-09,2024-04-10,,LT,Vilnius,Klaipeda,4189,Registered,Returned,Sorting issue,69,Recipient unavailable,4,False
153,2024-05-25,2024-05-26,2024-05-29,LT,Klaipeda,Siauliai,3438,Standard,Delivered,None,60,,4,False
154,2024-03-02,2024-03-04,2024-03-06,LT,Klaipeda,Siauliai,1124,Registered,Delivered,None,170,,2,False
155,2024-03-14,2024-03-14,2024-03-18,LT,Kaunas,Siauliai,2483,Express,Delivered,None,39,,4,False
156,2024-05-27,2024-05-29,2024-05-30,LT,Panevezys,Panevezys,3937,Standard,Delivered,None,146,,4,False
157,2024-07-05,2024-07-05,2024-07-06,LT,Kaunas,Siauliai,3924,EMS,Delivered,None,202,,4,False
158,2024-12-20,2024-12-22,2024-12-27,LT,Klaipeda,Vilnius,2766,Express,Delayed,Address error,344,,4,True
159,2024-03-25,2024-03-26,,LT,Panevezys,Siauliai,668,Standard,Returned,Address error,306,Address incorrect,5,False
160,2024-12-13,2024-12-13,2024-12-21,LT,Klaipeda,Kaunas,4462,EMS,Delayed,High volume,48,,1,True
161,2024-04-05,2024-04-06,2024-04-10,LT,Vilnius,Vilnius,1190,Standard,Delivered,None,38,,4,False
162,2024-03-14,2024-03-16,2024-03-17,LT,Kaunas,Vilnius,4297,Express,Delivered,None,109,,4,False
163,2024-10-21,2024-10-21,2024-10-24,LT,Klaipeda,Siauliai,2841,Express,Delivered,None,213,,2,False
164,2024-03-17,2024-03-19,2024-03-22,LT,Siauliai,Siauliai,1850,Registered,Delivered,None,177,,2,False
165,2024-07-13,2024-07-13,2024-07-16,LT,Siauliai,Kaunas,2010,Express,Delivered,None,105,,4,False
166,2024-12-15,2024-12-15,,LT,Klaipeda,Siauliai,4812,Standard,Returned,Sorting issue,294,Recipient unavailable,2,True
167,2024-08-31,2024-08-31,2024-09-01,LT,Kaunas,Kaunas,581,Express,Delivered,None,90,,1,False
168,2024-12-30,2024-12-30,2025-01-03,LT,Panevezys,Klaipeda,63,EMS,Delayed,Address error,116,,1,True
169,2024-09-04,2024-09-06,2024-09-10,LT,Siauliai,Panevezys,3080,EMS,Delivered,None,80,,4,False
170,2024-01-19,2024-01-21,2024-01-24,LT,Panevezys,Siauliai,3303,EMS,Delivered,None,24,,2,False
171,2024-02-28,2024-02-29,2024-03-02,LT,Panevezys,Vilnius,3272,Standard,Delivered,None,117,,5,False
172,2024-08-06,2024-08-07,2024-08-11,LT,Klaipeda,Kaunas,1563,EMS,Delivered,None,55,,1,False
173,2024-02-25,2024-02-26,2024-03-01,LT,Vilnius,Kaunas,3281,EMS,Delivered,None,262,,5,False
174,2024-10-31,2024-11-01,2024-11-04,LT,Vilnius,Kaunas,560,Standard,Delivered,None,144,,1,False
175,2024-07-15,2024-07-15,,LT,Klaipeda,Siauliai,1733,Standard,Returned,Sorting issue,67,Address incorrect,3,False
176,2024-03-18,2024-03-20,2024-03-22,LT,Klaipeda,Kaunas,1025,EMS,Delivered,None,147,,1,False
177,2024-08-16,2024-08-18,2024-08-21,LT,Panevezys,Siauliai,3467,Registered,Delivered,None,292,,5,False
178,2024-05-10,2024-05-10,2024-05-13,LT,Panevezys,Kaunas,2925,Express,Delivered,None,51,,5,False
179,2024-04-18,2024-04-20,2024-04-23,LT,Vilnius,Vilnius,2297,Standard,Delivered,None,317,,3,False
180,2024-05-09,2024-05-11,2024-05-12,LT,Kaunas,Panevezys,2561,Express,Delivered,None,217,,2,False
181,2024-05-07,2024-05-07,2024-05-09,LT,Kaunas,Vilnius,1279,Express,Delivered,None,292,,2,False
182,2024-05-21,2024-05-22,2024-05-25,LT,Klaipeda,Siauliai,4249,Registered,Delivered,None,73,,5,False
183,2024-03-19,2024-03-19,2024-03-22,LT,Panevezys,Siauliai,3094,Registered,Delayed,Weather,129,,4,False
184,2024-02-07,2024-02-08,2024-02-09,LT,Panevezys,Klaipeda,1545,Registered,Delivered,None,8,,2,False
185,2024-02-06,2024-02-06,2024-02-08,LT,Kaunas,Klaipeda,2489,Registered,Delivered,None,132,,3,False
186,2024-11-06,2024-11-07,2024-11-09,LT,Siauliai,Panevezys,1685,Registered,Delivered,None,113,,4,True
187,2024-05-07,2024-05-09,2024-05-12,LT,Panevezys,Kaunas,3738,Standard,Delivered,None,140,,1,False
188,2024-10-15,2024-10-15,2024-10-18,LT,Vilnius,Panevezys,902,Express,Delivered,None,312,,3,False
189,2024-02-05,2024-02-05,2024-02-07,LT,Siauliai,Vilnius,4152,EMS,Delivered,None,319,,2,False
190,2024-08-09,2024-08-10,2024-08-13,LT,Panevezys,Kaunas,4316,Express,Delivered,None,46,,2,False
191,2024-01-21,2024-01-21,2024-01-23,LT,Panevezys,Panevezys,1890,Express,Delivered,None,191,,1,False
192,2024-06-11,2024-06-12,2024-06-16,LT,Siauliai,Kaunas,3607,Standard,Delivered,None,141,,5,False
193,2024-07-08,2024-07-09,2024-07-11,LT,Klaipeda,Klaipeda,1005,Registered,Delivered,None,290,,3,False
194,2024-12-02,2024-12-02,2024-12-03,LT,Klaipeda,Vilnius,1471,EMS,Delivered,None,107,,2,True
195,2024-08-23,2024-08-23,2024-08-26,LT,Panevezys,Panevezys,1820,Registered,Delivered,None,9,,2,False
196,2024-04-03,2024-04-05,2024-04-06,LT,Vilnius,Siauliai,177,Standard,Delivered,None,269,,5,False
197,2024-09-11,2024-09-11,2024-09-14,LT,Siauliai,Kaunas,2358,Express,Delivered,None,207,,2,False
198,2024-09-07,2024-09-08,2024-09-15,LT,Siauliai,Vilnius,4338,Standard,Delayed,High volume,66,,3,False
199,2024-11-26,2024-11-27,2024-11-28,LT,Panevezys,Klaipeda,855,EMS,Delivered,None,282,,2,True
200,2024-02-09,2024-02-11,2024-02-12,LT,Kaunas,Siauliai,3823,EMS,Delivered,None,39,,3,False
201,2024-11-04,2024-11-05,,LT,Vilnius,Siauliai,624,Standard,Lost,Address error,208,,5,True
202,2024-09-25,2024-09-26,2024-09-30,LT,Vilnius,Kaunas,1526,Express,Delivered,None,344,,5,False
203,2024-01-07,2024-01-08,2024-01-10,LT,Klaipeda,Siauliai,1685,Standard,Delivered,None,307,,2,False
204,2024-01-01,2024-01-03,2024-01-06,LT,Vilnius,Klaipeda,2181,EMS,Delivered,None,319,,2,False
205,2024-03-07,2024-03-09,,LT,Kaunas,Vilnius,835,Registered,Returned,Weather,170,Damaged,4,False
206,2024-07-01,2024-07-02,2024-07-03,LT,Kaunas,Klaipeda,1049,Standard,Delivered,None,322,,2,False
207,2024-12-20,2024-12-20,,LT,Klaipeda,Siauliai,553,EMS,Returned,Weather,280,Recipient unavailable,4,True
208,2024-09-15,2024-09-16,2024-09-17,LT,Vilnius,Vilnius,1844,Registered,Delivered,None,155,,1,False
209,2024-06-29,2024-06-30,2024-07-03,LT,Panevezys,Kaunas,4543,Registered,Delivered,None,189,,3,False
210,2024-10-12,2024-10-13,2024-10-17,LT,Klaipeda,Klaipeda,4387,Registered,Delivered,None,178,,1,False
211,2024-11-07,2024-11-08,2024-11-13,LT,Vilnius,Klaipeda,3456,EMS,Delayed,Weather,208,,3,True
212,2024-04-12,2024-04-14,2024-04-21,LT,Kaunas,Kaunas,1797,EMS,Delayed,Weather,95,,1,False
213,2024-02-21,2024-02-22,,LT,Vilnius,Panevezys,1965,Standard,Returned,High volume,71,Recipient unavailable,1,False
214,2024-06-29,2024-06-29,2024-06-30,LT,Panevezys,Vilnius,4204,EMS,Delivered,None,187,,4,False
215,2024-07-01,2024-07-02,2024-07-03,LT,Panevezys,Vilnius,122,Standard,Delivered,None,121,,5,False
216,2024-03-17,2024-03-18,2024-03-21,LT,Siauliai,Klaipeda,4749,Registered,Delivered,None,342,,2,False
217,2024-06-22,2024-06-23,,LT,Kaunas,Siauliai,3732,Standard,Returned,High volume,90,Recipient unavailable,2,False
218,2024-10-05,2024-10-07,2024-10-08,LT,Vilnius,Kaunas,785,Registered,Delivered,None,287,,2,False
219,2024-07-14,2024-07-14,2024-07-17,LT,Vilnius,Panevezys,2471,Registered,Delivered,None,277,,1,False
220,2024-05-22,2024-05-23,2024-05-27,LT,Kaunas,Siauliai,4141,Registered,Delivered,None,296,,2,False
221,2024-08-10,2024-08-12,2024-08-14,LT,Panevezys,Panevezys,2849,EMS,Delivered,None,153,,3,False
222,2024-03-04,2024-03-05,2024-03-08,LT,Kaunas,Kaunas,1378,Standard,Delivered,None,294,,2,False
223,2024-07-30,2024-08-01,2024-08-04,LT,Kaunas,Panevezys,3116,Express,Delivered,None,47,,2,False
224,2024-12-16,2024-12-17,2024-12-20,LT,Klaipeda,Siauliai,241,EMS,Delivered,None,218,,1,True
225,2024-04-03,2024-04-04,2024-04-08,LT,Siauliai,Panevezys,2044,Standard,Delivered,None,158,,2,False
226,2024-09-07,2024-09-07,2024-09-14,LT,Klaipeda,Vilnius,2009,EMS,Delayed,High volume,302,,5,False
227,2024-08-22,2024-08-22,2024-08-24,LT,Vilnius,Vilnius,4996,Registered,Delivered,None,219,,3,False
228,2024-12-13,2024-12-15,2024-12-18,LT,Kaunas,Vilnius,3216,EMS,Delivered,None,294,,1,True
229,2024-10-20,2024-10-20,2024-10-21,LT,Kaunas,Klaipeda,3616,Standard,Delivered,None,38,,4,False
230,2024-09-27,2024-09-28,2024-09-30,LT,Kaunas,Klaipeda,4505,Registered,Delivered,None,13,,5,False
231,2024-02-08,2024-02-08,2024-02-11,LT,Siauliai,Vilnius,1651,EMS,Delivered,None,218,,4,False
232,2024-03-03,2024-03-05,2024-03-09,LT,Vilnius,Kaunas,848,EMS,Delivered,None,113,,5,False
